Keyword,Video_Title,Video_Link,Channel_Name,Channel_Link,Total_Views,Publish_Date,Description
reforma organos autonomos,"
            
            Aprueban proyecto de reforma para la extinción de 7 órganos autónomos en San Lázaro
          ",https://www.youtube.com/watch?v=Uqqk-NVVIMI&pp=ygUZcmVmb3JtYSBvcmdhbm9zIGF1dG9ub21vcw%3D%3D,MILENIO,https://www.youtube.com/@milenio,5.1K views,3 months ago,"Con 22 votos a favor y 17 en contra, la Comisión de Puntos Constitucionales de la Cámara de Diputados aprobó en lo general el ..."
reforma organos autonomos,"
            
            Diputados aprueban en lo general extinción de siete órganos autónomos
          ",https://www.youtube.com/watch?v=rvyH2hskC3E&pp=ygUZcmVmb3JtYSBvcmdhbm9zIGF1dG9ub21vcw%3D%3D,MILENIO,https://www.youtube.com/@milenio,14K views,4 weeks ago,"Entre protestas y pancartas de la oposición, el pleno de la Cámara de Diputados aprobó en lo general con 347 votos a favor y ..."
reforma organos autonomos,"
            
            López Obrador alista reforma para desaparecer órganos autónomos | DPC con Nacho Lozano
          ",https://www.youtube.com/watch?v=Z8z6S9xpvKo&pp=ygUZcmVmb3JtYSBvcmdhbm9zIGF1dG9ub21vcw%3D%3D,Imagen Noticias,https://www.youtube.com/@ImagenNoticias,5.1K views,1 year ago,Ayer el presidente #LópezObrador anunció que antes de que termine su administración va enviar una iniciativa de reforma ...
reforma organos autonomos,"
            
            Diputados definen hoy reforma sobre eliminación de estos 7 órganos autónomos - Despierta
          ",https://www.youtube.com/watch?v=IHiDo3rfjb8&pp=ygUZcmVmb3JtYSBvcmdhbm9zIGF1dG9ub21vcw%3D%3D,NMás,https://www.youtube.com/@nmas,15K views,3 weeks ago,"El Pleno de la Cámara de Diputados aprobó en lo general reformas para desaparecer siete órganos autónomos, entre ellos el ..."
reforma organos autonomos,"
            
            AMLO alista reforma para eliminar organismos autónomos
          ",https://www.youtube.com/watch?v=sQlyXycX-XA&pp=ygUZcmVmb3JtYSBvcmdhbm9zIGF1dG9ub21vcw%3D%3D,MILENIO,https://www.youtube.com/@milenio,6.3K views,3 years ago,El mandatario planteó que los organismos que desaparezcan se incorporen a las secretarías de Estado. #NoticiasMilenio ...
reforma organos autonomos,"
            
            Modifican iniciativa de reforma para organismos autónomos, confirma Sheinbaum
          ",https://www.youtube.com/watch?v=_jShON4ShWc&pp=ygUZcmVmb3JtYSBvcmdhbm9zIGF1dG9ub21vcw%3D%3D,La Jornada,https://www.youtube.com/@LaJornada2023,8.7K views,4 weeks ago,La presidenta Claudia Sheinbaum confirmó que habrá una modificación a la iniciativa de reforma constitucional relacionada con ...
reforma organos autonomos,"
            
            Diputados avalan desaparición de siete órganos autónomos.
          ",https://www.youtube.com/watch?v=gaGkEvvSYzA&pp=ygUZcmVmb3JtYSBvcmdhbm9zIGF1dG9ub21vcw%3D%3D,UnoTV,https://www.youtube.com/@unotv,3.9K views,3 weeks ago,Primer paso para acabar con 7 organismos auytónomos. INAI pide al senado reflexionar. Nueva reforma al Poder Judicial para ...
reforma organos autonomos,"
            
            Diputados inician trámite para reforma de eliminación de organismos autónomos
          ",https://www.youtube.com/watch?v=xpgh9mpGoN4&pp=ygUZcmVmb3JtYSBvcmdhbm9zIGF1dG9ub21vcw%3D%3D,MILENIO,https://www.youtube.com/@milenio,808 views,1 month ago,"La Cámara de Diputados emitió el trámite para discutir la reforma que busca eliminar organismos autónomos, con debate ..."
reforma organos autonomos,"
            
            ¿Qué pasará con los organismos autónomos en México? | Punto Medio
          ",https://www.youtube.com/watch?v=tBFPXHCUrug&pp=ygUZcmVmb3JtYSBvcmdhbm9zIGF1dG9ub21vcw%3D%3D,MILENIO,https://www.youtube.com/@milenio,7.3K views,4 months ago,"Este lunes de Punto Medio se analiza el dictamen para desaparecer siete organismos autónomos, entre los que se encuentra el ..."
reforma organos autonomos,"
            
            ¡Continúa discusión de reforma! Diputados aprueban desaparición de siete organismos autónomos
          ",https://www.youtube.com/watch?v=AsPGxwzKb4k&pp=ygUZcmVmb3JtYSBvcmdhbm9zIGF1dG9ub21vcw%3D%3D,El Heraldo de México,https://www.youtube.com/@elheraldodemexico,1.5K views,4 weeks ago,"El pleno de la Cámara de Diputados aprobó en lo general, por mayoría calificada de 347 votos a favor, 128 en contra y cero ..."
